questions,answers
Okay. So overall today are you pursuing or do you want to further your education,"Yeah, I'm trying to get in college."
so you have you maybe had more options in school?,"Yes. Was it fail, you know, pass or fail?"
when you receive the grades.,"Sometimes, like she usually doesn't give them that day but like often like the next day or the day after"
So you weren't you weren't feeling great about taking the test in the first place?,"Today, the night before, I felt like I know all the answers, but the minute I walked into the room, all of a sudden, all these fears kind of took over. "
There's no time.,No
"maybe the little space it's upset, perhaps a drink drink and a half each one. So that also increased a little bit more. So perhaps maybe drinking more than you indicated on here. And for women, healthy woman your age, no more than three drinks in one setting is considered to be low or no risk and one seven in one week, seven total in total a week and what you say here is that even on this sheet, you're perhaps already drinking more than that. So what do you make of all that?","That news to me, you know, I thought red wine with your meals is supposed to be healthy. You know, no more than seven in a week? That seems kind of prohibitive?"
see or hear things other people can't see or hear?,No.
"Now, that's a job that you've been interested in for a while.","Yes. Yes. So I've been just feeling a lot of anxiety about taking the test and then they actually scheduled for me to take the test. And I want and I just got really overwhelmed. And I started like I felt my heart was racing. I felt like I wish my hands were shaking. And I just really couldn't concentrate on the test. Even though the night before me and my friend that practice problems, and I knew all the answers with no proper like, I didn't miss any of the questions"
"Alright, so your ability to concentrate and do the hard work of preparing is affected","Yeah, it's like focus my energy on the right things. I'm just like wasting time worrying."
"Yeah, okay. All right. What was your relationship with your teachers? And maybe those that some of the peers that you had at the school? I mean, was there any?","No, I usually I've been dealing with the teachers. Honestly, I was always the class clown. So I'm usually getting kicked out, getting detention, you know, so I didn't really get along with the teachers trying to teach class right stuff. "
"Okay, thank you. So, you say here that you have four or more drinks in one week, you mentioned that you may be increasing that a little bit as well. And that you have one or two drinks in one setting ","typically, yeah. "
your financial stress may be increased by the fact that you're drinking.,"Yeah, kind of defeating the purpose they're"
So it's you're in you're in the classroom. Do you write the only one to present in that classroom is it rotate through several PV?,"It depends on the presentation. Sometimes there's like one or two other people that have to present that night, depending on like how long the topic is."
you did ?Okay.,Yes.
,"years ago I you know, felt had some of these similar things. But I didn't really think about it much and I mean, it's gone on for like, I've been feeling this way for like a month. And, you know, I I think something's wrong."
"Alright, so not not many active relationships there. Your family history. It sounds like so.","Well, yeah, there's not many now."
"erupt in that moment, and that prevented you. What do you think is leading to this?","Well, I've always kind of struggled with tests. I'm like, I can remember when I was in third grade, I had to take this test, because I was really struggling in math. And I had to pass this test in order to move to the next grade. And I thought just like this test that I was ready for it, I had a tutor, and I felt really prepared for it. And then when I took it, I failed. And I was held back. And I feel like, you know, that was so it was, it was really embarrassing for me to be held back. And I felt like I don't want to say but I did feel like a failure at the time. Because I felt like I really didn't know this. I don't know why I couldn't pass the test."
"having any feelings of sad sadness, hopelessness?","Yeah,"
"That was very, very tough on you. What happened on that particular day?","So typically, like, I go to load my presentation, at this point, like, I have my new cards or whatever, in front of me. I am like, shaking at this point. I am so I don't know if it's scared, or worried or maybe a combination of everything. And I'm just like sweating. My heart is racing. Like I almost feel dizzy. I'm just so stressed out about what's going to happen. And then you know, I'm starting to speak. And then the presentations are usually like 20 minutes or so. Okay, so I have to stay up there for the duration and I'm just like, you know, sweating and then I'm wondering like, are people looking at me or people? Can people see it? You know, am I going to forget something?"
so you know the material on this test pretty well?,yes.
Are you embarrassed that the professor or Other students will see that you were really anxious?,"Yeah, I don't want I figure if I leave and people won't, will just make me think I was sick or whatever. And it'll be a better situation, if I just left then happened to see me up there, you know, sweating and all these other symptoms that I have when I actually get up there, it would be better just to leave before that starts."
"and you presented then you presented Alright, so you you survived. One of the more stressful presentations","Yeah, I almost felt like I was gonna be ill. I was so stressed that day."
"Yeah. So he, he actually see me because you went to him for increased stress. And he's concerned that your alcohol consumption may be a part of that increase And prior to prescribing anything, you want to make sure that you at least had someone to talk to that",I suppose.
like that?,"no, I mean, like not really no, like, I don't feel worthless. I just you know, I just I'm still sad. I don't know why I'm sad. "
I understand you've been having some difficulties recently that have brought you into the agency.,"Yeah, I'm, I'm recently married. And so my husband and I moved in together. And up until then I I've lived by myself. My whole adult life. So apparently the craziest things have been happening. While I've been sleeping. several, several nights I've woken him up screaming. I'm screaming. Apparently a very vulgar, profane, profane the words and So that's a little alarming to him. And I've even, you know, we've been hitting him in the middle of the night. You know, he's waking up with these huge bruises on his arms. And so yeah, apparently, a behavior in the middle of the night is out of hand."
You think you might be depressed?,
"So the some of the thoughts are you wonder if they can see how anxious you are you wonder if you're gonna do poorly on the presentation,","right. Or they think I've been lazy and I didn't prepare, are they going to think that, you know, I'm dumb or I don't know, you know what I'm doing."
Imagine investment thoughts so that what have you thought of trying?,"Well, I've exercised in the past and that helps. Right now. My schedule is kind of out of whack and I just really don't know what to do. That's why I came to see Dr. seal. I thought maybe he can prescribe me something that would help. You know, when I'm feeling overwhelmed,"
And did did you have any other symptoms?,"Well, I was feeling sick. So and I had headaches and I, you know, I've got,"
"tough memories in Yeah,","yeah, absolutely. "
,at home to
"Because it's not. It's interfering with you thinking clearly enough to get to the items. So, okay. So one thought I have is you have you ever had panic attacks in the past or anything like this?, the third grade thing?","No, not really. I mean, sometimes I get worked out when I'm about to take a test, okay, but it's only around test."
other than you think would cause depression.,
Do you have any special family traditions?,"I mean, we would go on family vacations. When I was a kid. We were constantly staying at the best hotels and stuff like that. Because a mom, you know, would shop around, she actually would Book Three hotels, and just decide which one she liked better when we got there. I don't, I don't know. But anyway, we would do that we would go on vacations together, we would always go down to the beach. So that was really our family tradition as far as in like holidays. We did when we were younger. We would have like our family over for Christmas and stuff like that. But"
"Police Officer, have you looked into that what it takes?",yeah trying to get back into this cadet program I was doing for about three weeks ago was doing it but was too far. So to kind of really go forward in my area
So that's been affecting your energy level?,Yeah.
"you could, you could take them again or take the course again or?",or I could take another test to raise the grade if I didn't do good on that.
How about any medical conditions?,Nothing
that might be going on. So what would you like from counseling?,"Colby? Um, well, I'm just little worried that it's going to affect my marriage and that my husband will not be able to deal with that. So I would just really like to figure out how to keep my relationship with Him successful with it. So overcome these issues."
so tell me how it helps you.,"It's just studies me studies me like I'm, you know, I'm shaking all the time. I'm just like,"
does that ever happen when you take like a nap for a short nap?,No.
"Jackie, I joined today. Okay, how about you?","I do well, thanks for asking. "
Are you adopted?,No.
